app,count
密钥链,13
联系人存储,13
相机,13
浏览器,13
蓝牙共享,13
日历,13
日历存储,13
打印处理服务,13
设置,13
微信,13
文件管理,13
外部存储设备,13
输入设备,13
设置存储,13
快贷,12
计算器,12
支付宝,12
录音机,12
天气,12
电话,11
qq,11
一体化位置信息,11
手机淘宝,11
android 系统,11
时钟,10
便签,10
软件包权限帮助程序,10
证书安装程序,10
电子邮件,9
音乐,9
系统更新,9
信息,9
媒体存储,9
网络位置,9
应用商店,9
语音设置,9
腾讯视频,9
语音助手,9
用户字典,8
电话服务,8
58同城,8
美团,8
京东金融,8
高德地图,8
相册,8
下载管理器,8
京东,8
指南针,7
爱奇艺,7
手机管家,7
今日头条,7
wifi万能钥匙,7
文档,7
系统桌面,7
百度地图,7
系统用户界面,7
存储已屏蔽的号码,7
视频,7
系统界面,7
天气存储,7
工作资料设置,7
搜索,7
基本互动屏保,7
qq邮箱,7
大众点评,6
铁路12306,6
中国建设银行,6
游戏中心,6
扫一扫,6
51信用卡管家,6
开机引导,6
通话管理,6
美图秀秀,6
携程旅行,6
云服务,6
图库,6
备份,6
html 查看器,6
滴滴出行,6
查找手机,6
融360,6
收音机,6
html 查看程序,6
招商银行,5
天猫,5
电话/信息存储,5
搜狗输入法,5
联系人,5
硬件检测,5
usim卡应用,5
应用宝,5
x-divert设置,5
google服务框架,5
掌上生活,5
摩拜单车,5
急救信息,5
小区广播,5
mtp 主机,5
中国工商银行,5
文件,5
qq音乐,5
百度网盘,5
媒体存储设备,5
下载管理,5
米家,5
新闻资讯,5
存储空间管理器,5
qq同步助手,5
酷狗音乐,5
下载管理程序,5
平安普惠,5
浦发信用卡,5
百度钱包,5
电话和短信存储,5
屏幕录制,5
挖财记账,5
小米金融,5
手机营业厅,5
手机百度,5
软件包安装程序,5
交通银行,4
安全中心服务组件,4
传送门,4
电话加油包,4
游戏,4
uc浏览器,4
神隐模式,4
设备配置器,4
wfd服务,4
google帐户管理程序,4
工银融e联,4
来分期,4
米币支付,4
平安口袋银行,4
支付宝安全校验服务,4
游戏服务,4
小米服务框架,4
去哪儿旅行,4
小米快传,4
系统升级,4
短信,4
中国农业银行,4
黑洞,4
搜狗输入法小米版,4
小米卡包,4
空间管理服务,4
用户反馈,4
小米商城,4
开心消消乐®,4
无线显示,4
网络位置服务,4
我的小米,4
应用分身,4
照片屏幕保护程序,4
支付宝快捷支付服务,4
小米画报,4
小米云盘,4
sim卡应用,4
王者荣耀,4
百度输入法小米版,4
个性主题,4
设置搜索,4
直达服务,4
miui安全组件,4
授权管理,4
信息助手,4
